2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"1,209,587,568","1,305,610,188","1,351,046,274","1,380,605,364","1,375,931,614","1,376,529,311","1,202,017,487","1,305,421,053","1,343,089,722","1,292,080,082","1,259,435,491"
"231,078,207","250,351,134","255,427,810","251,592,063","253,416,968","255,070,345","243,994,976","263,034,517","262,282,165","246,861,700","236,564,908"
"231,676,772","248,921,893","252,526,015","261,238,235","262,437,437","250,442,167","218,235,960","243,599,494","257,035,109","255,155,274","234,002,591"
"93,798,976","102,737,536","111,656,492","126,213,311","127,746,757","124,424,182","107,150,771","119,627,109","125,886,243","123,013,900","124,058,542"
"78,498,156","80,752,669","84,794,384","86,141,426","87,175,768","88,780,340","77,836,857","81,412,223","86,352,217","80,716,593","71,744,970"
"73,569,240","76,102,451","69,377,154","65,689,823","62,406,181","60,493,387","59,921,473","65,583,524","64,752,817","64,202,920","76,174,981"
"28,456,034","30,600,320","33,238,285","34,485,619","43,004,172","52,015,631","45,444,276","49,695,482","56,907,035","64,264,845","67,573,968"
"72,993,349","76,617,904","78,826,739","78,408,524","76,065,896","72,431,550","60,603,257","54,462,314","55,834,916","48,195,771","48,112,770"
"44,624,924","50,348,074","49,678,942","57,218,182","54,267,055","57,115,088","51,285,511","53,678,878","54,251,329","52,126,598","51,354,646"
"34,935,632","40,872,999","46,435,573","46,337,929","47,444,996","48,384,682","43,251,047","45,257,376","49,155,781","47,784,104","44,776,298"
"33,905,273","38,101,025","42,003,726","44,508,683","43,209,252","47,713,053","41,887,079","43,536,505","48,429,835","49,593,405","51,133,175"
"28,915,037","32,647,610","30,960,871","31,626,799","35,250,309","38,630,526","30,316,737","38,838,843","39,236,672","38,382,163","39,464,170"
"22,428,146","29,137,317","29,076,701","27,838,489","27,810,800","29,949,926","20,285,709","29,838,014","34,307,474","33,264,655","27,691,013"
"21,827,473","26,220,687","29,305,175","32,819,074","35,423,269","34,585,811","29,743,702","33,510,033","33,962,130","32,898,038","31,315,098"
"26,198,080","27,458,620","31,022,749","32,004,296","28,069,221","30,541,532","25,346,374","26,935,472","25,711,534","24,633,028","25,199,345"
"24,781,609","26,069,970","26,071,235","23,839,895","23,101,441","24,491,694","20,084,826","21,160,653","19,337,630","2,630,783","1,686,107"
"15,613,501","17,963,562","20,731,239","20,863,712","19,001,705","16,760,372","14,642,947","15,453,731","15,886,110","15,889,862","16,502,576"
"17,909,092","19,282,845","20,602,954","22,750,373","19,756,411","17,835,426","12,673,486","14,715,367","15,703,245","16,146,939","15,459,648"
"24,500,189","24,666,766","24,711,376","23,730,168","23,728,572","22,159,355","20,484,838","18,870,170","15,304,242","14,180,797","14,762,337"
"13,972,399","16,726,224","20,857,147","23,218,372","22,094,613","26,930,669","15,655,776","15,510,954","11,382,423","8,927,597","10,850,108"
"15,314,621","15,936,662","15,219,094","15,814,891","16,512,805","14,108,102","11,674,254","11,339,454","10,814,869","12,843,813","13,005,343"
"18,203,849","12,643,550","13,236,359","14,517,828","12,056,213","11,890,230","8,281,271","10,332,154","10,052,145","9,330,920","10,075,169"
"9,800,938","9,274,845","11,058,969","10,074,804","8,055,578","7,593,561","7,353,858","7,132,711","7,724,140","7,056,717","7,455,023"
"7,174,398","7,662,482","8,663,886","9,335,486","9,767,910","8,539,174","8,020,501","7,529,891","7,712,035","7,581,538","6,960,997"
"4,575,487","5,535,126","6,070,396","5,934,914","6,089,750","6,267,404","6,119,293","6,712,502","7,402,487","7,557,068","7,571,358"
"2,590,642","8,176,205","8,375,308","7,089,967","7,084,684","7,173,186","1,534,160","5,629,711","5,276,028","6,042,783","3,215,910"
"5,903,105","6,161,424","6,355,839","6,023,316","5,065,489","4,605,639","5,145,065","5,536,132","4,942,211","5,252,699","4,668,191"
"4,819,223","4,806,271","6,209,490","5,705,050","4,758,950","5,323,693","4,108,112","4,742,219","4,401,458","4,135,657","4,949,779"
"3,718,214","5,905,628","4,149,396","5,500,174","4,133,336","3,868,506","3,187,072","2,906,493","3,923,103","3,556,544","3,068,546"
"1,898,042","1,464,585","1,562,899","1,171,229","1,128,471","1,404,073","1,198,868","1,897,163","2,261,749","1,757,850","2,115,963"
-,-,"865,232","2,927,214","4,499,655","1,944,844","1,597,004","3,022,921","2,250,662","4,161,536","3,547,168"
"416,166","705,708","811,812","1,277,097","1,128,580","1,468,139","1,307,815","1,327,545","2,043,141","1,181,682","995,982"
"1,847,198","1,772,888","1,662,260","2,051,138","2,160,547","1,614,007","1,877,704","1,101,810","1,384,677","1,179,738","1,892,727"
"2,349,893","2,229,216","2,403,111","2,542,309","1,955,889","1,344,574","829,341","907,152","940,556","1,147,342","1,071,562"
"11,280,365","7,751,762","7,090,779","59,654","55,916","621,783","932,871","526,231","238,628","369,818","411,887"
"3,715","1,912","1,811",737,"26,130","2,171","2,924","55,254","1,565","55,133","2,161"
"2,620",405,"3,251","4,531",627,"1,979","1,758","1,050","1,361",274,474
-,2,-,-,-,-,14,-,-,-,-
"7,003","1,910","1,816","50,051","40,264","2,509",-,-,-,-,-